time,Localisation,FID,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-29,Rennes,ind_bretagne.2021-09-29 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-29T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),13.6,9.7,18.2,1.5,,288,15.8,44,1024.3,
2021-09-29,Saint-Brieuc,ind_bretagne.2021-09-29 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-29T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),12.1,8.9,15.7,,,268,15,42,1024.4,
2021-09-29,Vannes,ind_bretagne.2021-09-29 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-29T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),13.1,8,18,0.4,,312,12.1,,1024.5,
2021-09-30,Brest,ind_bretagne.2021-09-30 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-30T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),13.3,7,17.6,0,,190,24.5,61,1025.2,
2021-09-30,Quimper,ind_bretagne.2021-09-30 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-30T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),12.5,6.2,17.6,,,222,11.5,38.9,1026.4,
2021-09-30,Rennes,ind_bretagne.2021-09-30 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-30T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,2,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),10.3,4.7,19.4,0,,197,10.7,40.8,1027.1,
2021-09-30,Saint-Brieuc,ind_bretagne.2021-09-30 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-30T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),12.5,7.5,18,,,193,14.8,41,1025.6,
2021-09-30,Vannes,ind_bretagne.2021-09-30 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-30T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),11.8,5,17.1,0,,197,10.2,,1026.4,
2021-10-01,Brest,ind_bretagne.2021-10-01 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-10-01T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),14.5,9,18.2,10.4,,245,19.7,55,1015.4,
2021-10-01,Quimper,ind_bretagne.2021-10-01 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-10-01T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),15.4,10.6,17.1,,,257,16.2,40.8,1016.1,
2021-10-01,Rennes,ind_bretagne.2021-10-01 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-01T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),15.1,12.6,20.6,0,,202,15.4,44,1016.6,
2021-10-01,Saint-Brieuc,ind_bretagne.2021-10-01 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-10-01T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),14.9,10.9,17.7,,,235,17.1,44,1015.1,
2021-10-01,Vannes,ind_bretagne.2021-10-01 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-10-01T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),15.6,12,18,9.6,,230,13.6,,1016,
2021-10-02,Brest,ind_bretagne.2021-10-02 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-10-02T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),13.6,9,17.4,23,,203,25.2,85,1000.8,
2021-10-02,Quimper,ind_bretagne.2021-10-02 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-10-02T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),14,8.9,17.9,,,213,16.7,66.7,1002.3,
2021-10-02,Rennes,ind_bretagne.2021-10-02 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-02T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),15,10.8,18.2,12.7,,187,20.1,68,1004.3,
2021-10-02,Saint-Brieuc,ind_bretagne.2021-10-02 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-10-02T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),13.5,9.7,18.6,,,195,18.9,76,1001.8,
2021-10-02,Vannes,ind_bretagne.2021-10-02 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-10-02T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),12.3,4,17,38.4,,209,16.5,,1003.2,
2021-10-03,Brest,ind_bretagne.2021-10-03 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-10-03T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),12.8,6.3,17.1,30.5,,251,16.5,68.5,1002.6,
2021-10-03,Quimper,ind_bretagne.2021-10-03 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-10-03T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),13.1,8.8,16.8,,,264,14.2,72.2,1003.5,
2021-10-03,Rennes,ind_bretagne.2021-10-03 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-03T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),13.8,11.3,18.2,53.6,,258,14.6,72.2,1002.8,
2021-10-03,Saint-Brieuc,ind_bretagne.2021-10-03 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-10-03T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),13.2,9.8,17,,,234,16.9,70.4,1002,
2021-10-03,Vannes,ind_bretagne.2021-10-03 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-10-03T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),10.5,1,16,13.7,,267,11.9,,1003.2,
2021-10-04,Brest,ind_bretagne.2021-10-04 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-10-04T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),14.3,11.6,17,0.5,,218,25.7,65,1010.9,
